epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.638,0.79308,3.47779,1.07108,0.24876,0.47844,0.31586,0.2567,0.73793,1.90596,0.96816,0.00017454,0.00017454,0.00017454
2,317.731,0.72869,2.46449,0.98535,0.46102,0.53088,0.50918,0.41966,0.75654,1.60968,0.98582,0.000315236,0.000315236,0.000315236
3,473.926,0.70174,1.95754,0.97401,0.561,0.59288,0.60189,0.50176,0.74034,1.39883,0.9579,0.000421216,0.000421216,0.000421216
4,630.477,0.67241,1.58927,0.95536,0.73761,0.69082,0.74565,0.62932,0.69641,1.04017,0.94213,0.000369778,0.000369778,0.000369778
5,786.43,0.64637,1.28715,0.9374,0.8289,0.70342,0.79417,0.66578,0.68076,0.85241,0.92736,0.000317704,0.000317704,0.000317704
6,941.858,0.61489,1.09677,0.92611,0.87131,0.73737,0.84348,0.71731,0.6606,0.71954,0.91324,0.00026563,0.00026563,0.00026563
7,1095.04,0.59326,0.93369,0.91985,0.89895,0.78261,0.87002,0.74992,0.61868,0.63835,0.89802,0.000213556,0.000213556,0.000213556
8,1251.25,0.5735,0.84987,0.90561,0.91263,0.79035,0.88623,0.76048,0.61443,0.60352,0.89253,0.000161482,0.000161482,0.000161482
9,1408.1,0.55809,0.76285,0.90346,0.90686,0.81712,0.89342,0.77178,0.60213,0.56228,0.88616,0.000109408,0.000109408,0.000109408
10,1563.96,0.54128,0.72959,0.89813,0.92202,0.81503,0.89995,0.7806,0.58914,0.53231,0.87997,5.7334e-05,5.7334e-05,5.7334e-05
