epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.39,1.02097,3.20751,1.18676,0.3185,0.43704,0.25239,0.1992,0.84077,2.06645,0.98946,0.000175234,0.000175234,0.000175234
2,974.839,0.91478,2.20279,1.11826,0.25972,0.40249,0.30029,0.22273,0.88018,1.93521,1.01776,0.000347097,0.000347097,0.000347097
3,1449.11,0.90164,2.0367,1.10894,0.20144,0.35633,0.26527,0.20408,0.88023,2.16697,1.01102,0.000515488,0.000515488,0.000515488
4,1923.34,0.89099,1.95692,1.10373,0.21481,0.58161,0.2713,0.21097,1.16497,6.65514,1.33037,0.000510378,0.000510378,0.000510378
5,2397.8,0.86881,1.80606,1.07846,0.25351,0.54786,0.3254,0.26333,0.82647,2.13647,0.98526,0.00050517,0.00050517,0.00050517
6,2872.54,0.85247,1.73747,1.07538,0.37642,0.54271,0.38589,0.29591,0.85608,1.96175,1.03439,0.000499963,0.000499963,0.000499963
7,3346.49,0.81351,1.65599,1.05604,0.32625,0.65597,0.41936,0.32443,0.87175,1.61563,1.01149,0.000494756,0.000494756,0.000494756
8,3821.65,0.80227,1.59594,1.04568,0.29539,0.57085,0.36845,0.27607,0.94649,2.4879,1.05813,0.000489548,0.000489548,0.000489548
9,4297.68,0.79452,1.5487,1.04566,0.34585,0.6769,0.42874,0.32461,0.91606,2.56598,1.07945,0.000484341,0.000484341,0.000484341
10,4772.11,0.78123,1.46636,1.03605,0.32837,0.67155,0.43753,0.34341,0.96385,5.86488,1.08916,0.000479133,0.000479133,0.000479133
11,5247.54,0.76586,1.4438,1.03559,0.47851,0.6591,0.53491,0.418,0.83732,1.53266,1.01849,0.000473926,0.000473926,0.000473926
12,5721.76,0.76535,1.43306,1.03202,0.52528,0.71531,0.60813,0.49319,0.78811,2.04709,0.98058,0.000468719,0.000468719,0.000468719
13,6198.8,0.7473,1.36401,1.02762,0.54909,0.66252,0.58008,0.45214,0.83037,2.16758,1.00529,0.000463511,0.000463511,0.000463511
14,6678.84,0.74373,1.29047,1.02366,0.50212,0.67464,0.56429,0.42871,0.92338,3.31786,1.09475,0.000458304,0.000458304,0.000458304
15,7153.46,0.72636,1.23653,1.00759,0.56888,0.71001,0.59899,0.46279,0.86554,2.5571,1.04411,0.000453096,0.000453096,0.000453096
16,7628.98,0.72656,1.21105,1.00982,0.65406,0.68327,0.7001,0.55427,0.8075,1.49195,0.98326,0.000447889,0.000447889,0.000447889
17,8105.97,0.72315,1.17997,1.01909,0.67075,0.74473,0.72136,0.58195,0.78218,2.1021,0.98157,0.000442682,0.000442682,0.000442682
18,8583.1,0.74032,1.14231,1.0158,0.59982,0.79605,0.68853,0.54319,0.87077,3.09779,1.10893,0.000437474,0.000437474,0.000437474
19,9064.88,0.72783,1.13165,1.00923,0.63116,0.72449,0.67536,0.52226,1.00404,2.52838,1.13323,0.000432267,0.000432267,0.000432267
